id,nombre,apellido_paterno,apellido_materno,telefono,email,curp,edad,plan,mensaje
1,Glenn,Cullinan,Barchrameev,6024522952,gbarchrameev0@yellowpages.com,DUFF564853HPLZVL28,91,jcb,"Datos ya registrados"
2,Fanchon,Oliveti,Logie,8248326412,flogie1@goodreads.com,MHYU020323HPLSEYY0,62,jcb,"Datos ya registrados"
3,Alvy,Elizabeth,Tomowicz,4876031380,atomowicz2@samsung.com,SHHN871316MOCFFKA3,31,visa-electron,"Datos ya registrados"
4,Alfreda,Walker,Betham,6902486368,abetham3@tinypic.com,WRZO198022MJCRKVV9,35,jcb,"Datos ya registrados"
5,Shelia,Tunsley,Beaton,8354291449,sbeaton4@clickbank.net,VQFV463919MGTNZUC4,86,jcb,"Datos ya registrados"
6,Jarad,Gerrens,Cuckson,8861031951,jcuckson5@state.gov,OQTR648168HDFGJT22,36,mastercard,"Datos ya registrados"
7,Ynes,Bridges,Yeowell,2216488413,yyeowell6@spiegel.de,QYGC085263MBSWEXB4,86,maestro,"Datos ya registrados"
9,Joell,Lobbe,Laurie,1918266985,jlaurie8@reverbnation.com,UWOV391155HDFYNMU4,88,mastercard,"Datos ya registrados"
11,Malena,Norssister,Gorusso,7635634877,mgorussoa@youtu.be,JCHI144563HCCGFR18,47,americanexpress,"Datos ya registrados"
12,Isidoro,Degoe,Eyckel,2453804576,ieyckelb@technorati.com,XVJQ784809MASEBL64,3,visa-electron,"Datos ya registrados"
13,Averil,Fernao,Bothram,6786972129,abothramc@live.com,BTWF615499MDFXUG47,70,jcb,"Datos ya registrados"
14,Kare,Bamlet,Aspray,9313020672,kasprayd@so-net.ne.jp,MHSH734773MPLLLW50,56,visa,"Datos ya registrados"
15,Martha,Rushbrooke,Jirik,5755295398,mjirike@linkedin.com,XJIQ703239HOCJDNS9,38,mastercard,"Datos ya registrados"
16,Martyn,Mounter,Pickvance,9592087955,mpickvancef@upenn.edu,YDTX121289MTSZMWD1,41,bankcard,"Datos ya registrados"
17,Goldy,Laxston,Wandtke,9689945374,gwandtkeg@home.pl,VHOY422793MYNUOO23,45,jcb,"Datos ya registrados"
18,Randee,Ivachyov,Jenicke,3083950374,rjenickeh@china.com.cn,FEVG398984MNLEXK97,15,diners-club-enroute,"Datos ya registrados"
19,Barris,McLaine,Olyff,6959915841,bolyffi@etsy.com,VNBM162785HNLNCXU3,74,jcb,"Datos ya registrados"
20,Claudelle,Nudds,Sherewood,8572774578,csherewoodj@smh.com.au,EWIW575532HASHOG88,60,jcb,"Datos ya registrados"
